domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
perplexity.ai,90,Valid SSL | Age > 1 year | Live content detected | Medium word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),90.92,https://www.perplexity.ai/,True,83.0,1398.0,AI,True,Perplexity,70,serper,10,
indiehackers.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,3061.45,https://www.indiehackers.com/,True,86.0,4052.0,COM,True,Indie Hackers: Work Together to Build Profitable Online Businesses,2013,bs4,0,
seoblog-spammy-content.online,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
clearbit.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,393.01,https://clearbit.com,True,254.0,8342.0,COM,True,Clearbit has joined HubSpot,313,bs4,0,
amazonaws.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,925.94,https://aws.amazon.com/,True,146.0,7567.0,COM,True,Cloud Computing Services - Amazon Web Services (AWS),658,bs4,0,
nytimes.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,6732.08,https://www.nytimes.com/,True,129.0,11797.0,COM,True,"The New York Times - Breaking News, US News, World News and Videos",1386,bs4,0,
gymnasticsclub-blogspot.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
twilio.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1433.47,https://www.twilio.com/en-us,True,264.0,6767.0,COM,True,"Conversational AI and APIs for SMS, Email, Voice | Twilio",3849,bs4,0,
linkedin.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,578.3,https://www.linkedin.com/,True,135.0,8587.0,COM,True,LinkedIn: Log In or Sign Up,740,bs4,0,
ghost.org,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,298.93,https://ghost.org/,True,79.0,7620.0,ORG,True,Ghost: The best open source blog & newsletter platform,920,bs4,0,
healthcheck-online.org,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
granola.ai,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,5492.63,https://www.granola.ai/,True,69.0,1778.0,AI,True,Granola ‚Äî The AI Notepad for back-to-back meetings,1861,bs4,0,
buy-followers-fast.life,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
zapier.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2343.08,https://zapier.com,True,294.0,5302.0,COM,True,"Zapier: Automate AI Workflows, Agents, and Apps",2573,bs4,0,
posthog.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,4434.29,https://posthog.com,True,35.0,2295.0,COM,True,PostHog – We make dev tools for product engineers,865,bs4,0,
heroku.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1126.94,https://www.heroku.com/,True,88.0,6901.0,COM,True,Heroku: The Cloud Application Platform | Build. Deploy. Scale.,1984,bs4,0,
hubspot.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,3566.38,https://www.hubspot.com/,True,40.0,7759.0,COM,True,HubSpot | Software & Tools for your Business - Homepage,2103,bs4,0,
fathom.video,80,Valid SSL | Unknown age | Live content detected | High word count,success,High,Manual Review,,479.6,https://www.fathom.ai/,True,49.0,,AI,True,Fathom AI Notetaker - Never Take Notes Again,1049,bs4,0,
producthunt.com,40,Valid SSL | Age > 1 year | No live content | Low word count,error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),96.28,https://producthunt.com,True,70.0,8464.0,COM,False,,0,serper,0,"All scraping methods failed: Pass2 Error: Serper Exception: ClientResponseError - 500, message='Internal Server Error', url='https://scrape.serper.dev'"
framer.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,13255.87,https://www.framer.com/,True,193.0,10720.0,COM,True,"Framer: Create a professional website, free. No code website builder loved by designers.",3614,bs4,0,
bestbuydiscount-now.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
finance-tracker-app.io,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
stallout-domain.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crisp.chat,80,Valid SSL | Unknown age | Live content detected | High word count,success,High,Manual Review,,4505.87,https://crisp.chat/en/,True,41.0,,CHAT,True,The AI Customer Support Platform for Every Business - Crisp,977,bs4,0,
freshdesk.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1218.17,https://www.freshworks.com/freshdesk/,True,91.0,8030.0,COM,True,Freshdesk: AI-powered platform for modern customer service | Freshworks,899,bs4,0,
test-domain-12345.test,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
trello.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1509.77,https://trello.com,True,190.0,7929.0,COM,True,"Capture, organize, and tackle your to-dos from anywhere | Trello",1674,bs4,0,
oldforumarchive.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
paymentgateway-test.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
oldnavy-warehouse.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
mailchimp.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1131.61,https://mailchimp.com,True,254.0,9077.0,COM,True,Email & SMS Marketing Platform | Mailchimp,2117,bs4,0,
crypto-airdrop-2025.click,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
render.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1035.09,https://render.com,True,46.0,10080.0,COM,True,Render | The cloud for builders,689,bs4,0,
medium.com,40,Valid SSL | Age > 1 year | No live content | Low word count,success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),100.2,https://medium.com,True,34.0,10207.0,COM,False,Medium: Read and write stories.,18,serper,6,
loan-approval-instant.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
discord.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1439.58,https://discord.com,True,85.0,9313.0,COM,True,Discord - Group Chat That’s All Fun & Games,698,bs4,0,
openai.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),106.24,https://openai.com,True,44.0,7047.0,COM,True,OpenAI | OpenAI,201,serper,2,
weather-update-zone.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
slack.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,720.4,https://slack.com,True,56.0,12251.0,COM,True,Slack | AI Work Platform & Productivity Tools,1876,bs4,0,
stately.ai,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1489.24,https://stately.ai,True,43.0,2479.0,AI,True,,838,bs4,0,
namecheap.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),99.15,https://www.namecheap.com/,True,247.0,9400.0,COM,True,Buy a domain name - Register cheap domain names from $0.99 - Namecheap,941,serper,2,
discount-meds-online.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
linktr.ee,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),132.04,https://linktr.ee,True,83.0,3711.0,EE,True,"Link in bio tool: Everything you are, in one simple link | Linktree",1255,serper,2,
make.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),80.83,https://www.make.com/en,True,77.0,10507.0,COM,True,AI Workflow Automation Software &amp; Tools | Make,460,serper,2,
project-discontinued.org,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
anthropic.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,694.55,https://www.anthropic.com/,True,59.0,8982.0,COM,True,Home \ Anthropic,630,bs4,0,
bestquote-insurance.biz,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
shopify.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2912.24,https://www.shopify.com/,True,67.0,7727.0,COM,True,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,1224,bs4,0,
hostinger.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,4277.13,https://www.hostinger.com/,True,301.0,8566.0,COM,True,Hostinger - Bring Your Idea Online With a Website,2331,bs4,0,
miro.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,8077.37,https://miro.com,True,131.0,11199.0,COM,True,AI Innovation Workspace | Miro,1926,bs4,0,
this-was-a-store.shop,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
instant-cash-2024.info,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
cloudflare.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2116.46,https://www.cloudflare.com/,True,34.0,6287.0,COM,True,"Connect, protect, and build everywhere | Cloudflare",2870,bs4,0,
backlinks-cheap-now.site,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
webflow.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,10056.4,https://webflow.com,True,167.0,8437.0,COM,True,Webflow: The agentic web platform for modern businesses,4759,bs4,0,
nft-mint-now-free.io,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
loom.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,6063.77,https://www.loom.com/,True,234.0,10381.0,COM,True,Free screen recorder for Mac and PC | Loom,828,bs4,0,
supabase.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,4331.15,https://supabase.com,True,31.0,3147.0,COM,True,Supabase | The Postgres Development Platform.,2494,bs4,0,
livechat.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2302.83,https://www.livechat.com/,True,74.0,9936.0,COM,True,LiveChat¬Æ - The Best AI Live Chat Software for Business | LiveChat.com,2023,bs4,0,
airtable.com,0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,"Airtable: Build Enterprise-ready AI Workflows, Apps & Agents - Airtable",266,serper,2,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
langchain.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,450.02,https://www.langchain.com/,True,85.0,2346.0,COM,True,"LangChain: Observe, Evaluate, and Deploy Reliable AI Agents",765,bs4,0,
